"iso2c","RR_BankingCrisis","RR_StockMarketCrash","RR_CurrencyCrisis","date"
"AR","0","0","0",1927-06-01
"AR","0","0","0",1928-06-01
"AR","0","0","0",1929-06-01
"AR","0","0","1",1930-06-01
"AR","1","0","1",1931-06-01
"AR","0","0","0",1932-06-01
"AR","0","0","1",1933-06-01
"AR","1","0","0",1934-06-01
"AR","0","0","0",1935-06-01
"AR","0","0","0",1936-06-01
"AR","0","0","0",1937-06-01
"AR","0","0","0",1938-06-01
"AR","0","0","0",1939-06-01
"AR","0","0","0",1940-06-01
"AR","0","0","1",1941-06-01
"AR","0","0","0",1942-06-01
"AR","0","0","0",1943-06-01
"AR","0","0","0",1944-06-01
"AR","0","0","0",1945-06-01
"AR","0","0","1",1946-06-01
"AR","0","0","0",1947-06-01
"AR","0","0","1",1948-06-01
"AR","0","1","1",1949-06-01
"AR","0","1","0",1950-06-01
"AR","0","1","1",1951-06-01
"AR","0","1","0",1952-06-01
"AR","0","0","0",1953-06-01
"AR","0","0","1",1954-06-01
"AR","0","1","1",1955-06-01
"AR","0","1","0",1956-06-01
"AR","0","1","0",1957-06-01
"AR","0","0","1",1958-06-01
"AR","0","0","1",1959-06-01
"AR","0","0","0",1960-06-01
"AR","0","0","0",1961-06-01
"AR","0","0","1",1962-06-01
"AR","0","0","0",1963-06-01
"AR","0","0","1",1964-06-01
"AR","0","0","1",1965-06-01
"AR","0","0","0",1966-06-01
"AR","0","0","1",1967-06-01
"AR","0","0","0",1968-06-01
"AR","0","0","1",1969-06-01
"AR","0","1","1",1970-06-01
"AR","0","1","1",1971-06-01
"AR","0","1","0",1972-06-01
"AR","0","1","0",1973-06-01
"AR","0","0","1",1974-06-01
"AR","0","1","1",1975-06-01
"AR","0","0","1",1976-06-01
"AR","0","1","1",1977-06-01
"AR","0","0","1",1978-06-01
"AR","0","0","1",1979-06-01
"AR","1","1","1",1980-06-01
"AR","1","1","1",1981-06-01
"AR","1","0","1",1982-06-01
"AR","0","1","2",1983-06-01
"AR","0","1","1",1984-06-01
"AR","0","0","2",1985-06-01
"AR","0","1","1",1986-06-01
