"country","iso3c","date","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10"
"Algeria","DZA","2003-01-01",-0.317119381062013,-0.594545875744398,0.591489377052901,0.648130857336319,-0.0128822720426135,-0.067752342639762,2.75791603223256,2.50031899051508,-1.16548713880406,-21221686.1426479
"Angola","AGO","2003-01-01",-1.35601574308102,-0.630603110455157,-0.264365537193575,-1.08401971005564,1.42356385655107,2.50027886642846,-0.347818159301097,0.166135446037309,1.33170094854581,-21221686.1426478
"Argentina","ARG","2003-01-01",-1.01219923086211,-0.660736295615856,-1.53401783779121,-0.58131511410339,-0.491171738856658,-0.937557133211054,-0.853390136867624,-0.807091613476341,-2.96001116181012,-21221686.1426478
"Australia","AUS","2003-01-01",0.496269855557192,0.202380852730294,-0.737849148146799,1.37854968557132,0.834250107300488,-0.826995811556615,-2.40582244958529,2.26618249491097,0.725770528486764,-21221686.1426478
"Austria","AUT","2003-01-01",1.50569267801161,1.44659214205295,-1.31110607761555,0.611087554166172,0.25064481858353,1.85887075908332,0.926888181990424,-0.965587609267674,-0.851114665168059,-21221686.1426478
"Azerbaijan","AZE","2003-01-01",1.03571412973734,-1.21099918136003,0.781620500950287,-0.75418742119897,-2.59231918129825,1.0556736073567,-0.97124316689039,0.333624540030645,0.370311638253701,-21221686.1426478
"Bahrain","BHR","2003-01-01",0.076394565271197,-1.16332775392987,1.58880664447055,1.90566239343741,0.975809726068716,-0.236534036191578,-0.210600651466717,-2.25359590576198,-0.214713647831206,-21221686.1426478
"Bangladesh","BGD","2003-01-01",-0.689739822693156,0.214415355911969,-1.23718849272443,0.533402487492167,-1.24653960552243,-1.36136352954248,1.2615532302311,-0.958838435669553,2.78279032094159,-21221686.1426478
"Belarus","BLR","2003-01-01",-0.952030830417608,2.49757990894914,1.72853766906945,-0.355552705710985,-0.622023649040538,-0.196105500765572,-0.656176199446923,-0.0169972756040657,-0.432800599992804,-21221686.1426478
"Belgium","BEL","2003-01-01",1.21303377953856,-0.10075604253904,0.394072901928376,-2.30175802693441,1.48066793825669,-1.78851487896141,0.498693319103943,-0.264150631714405,0.413553777378398,-21221686.1426478
