"word_stem","variable_importance"
"corrupt",1.22698752309401e-05
"corruption",3.76521576840117e-06
"cost",4.96788646573773e-06
"costs",1.15460015696044e-06
"council",5.23400500722843e-06
"countri",0.00179420083018516
"countries",2.74650543205234e-06
"country",3.76233482853667e-06
"coupl",7.69044685740686e-07
"court",3.89957586617585e-06
"cover",8.50426794457303e-06
"creat",4.26749487934948e-06
"creation",1.10970885687014e-06
"credit",2.53480312326166e-05
"crisi",1.68474123227343e-05
"crisis",1.48869190721365e-05
"critic",3.50154416598681e-06
"criticis",3.07140051322964e-07
"crude",2.30091954474575e-06
"curb",9.02779001416601e-07
"currenc",3.26075366437486e-05
"currency",2.47862867126903e-06
"current",4.79477425746036e-06
"currentaccount",0.000508525009765215
"custom",1.80427887437026e-06
"cut",7.1395000568085e-06
"cuts",4.211872836307e-07
"cycl",3.61149590117956e-06
"damag",8.36686502627002e-07
"dampen",2.6148356754057e-06
"data",4.38410329843212e-06
"date",4.66437008382564e-06
"day",2.23863948424169e-05
"deal",2.37772549869437e-05
"debt",3.18796911755973e-05
"debtserv",2.01937794003504e-06
"debtservic",5.99429998310858e-07
"deceler",1.36065959573399e-05
"decemb",1.36803972857131e-05
"december",2.15175256891294e-07
"decid",8.5850269535336e-07
"decis",3.25915373166603e-06
"declar",1.1702804345553e-06
"declin",7.18261181359645e-06
"defenc",2.05295777400361e-06
"deficit",0.000148280782860491
"degre",5.35447943666873e-07
"delay",6.48620548149813e-06
"demand",0.000669096906869725
"democrat",2.41293973491127e-06
"demonstr",2.52696677612383e-07
"depend",5.85276443007523e-06
"deposit",1.15782055647726e-05
"depreci",1.82629029067427e-05
"depress",3.13256284404182e-07
"deputi",3.871505884507e-06
"design",1.87756127590895e-06
"despit",2.2400327577951e-06
"detail",2.95013009885109e-06
"deterior",3.56142210306859e-06
"determin",4.20798798329304e-06
"develop",0.00110022078386235
"development",2.86707282275876e-05
"differ",4.60922246636868e-07
"differenti",5.49047668387429e-06
"difficult",3.99950489929342e-06
"difficulti",2.7044654225029e-06
"direct",3.23569380471829e-06
"disburs",4.85302627492172e-06
"discount",1.13657843908951e-06
"discuss",2.88679742799418e-06
"disput",1.78779120965163e-06
"distribut",6.12201844510416e-07
"dollar",0.000139717334752642
"domest",1.4350551248308e-05
"domin",3.51267992475369e-06
"donor",0.000859131044428864
"doubl",4.64589672916448e-07
"doubt",5.38617961203559e-07
"downsid",1.84009256407773e-06
"downturn",1.96919541436518e-06
"downward",2.28900016846092e-06
"draft",2.13027481315532e-06
"dramat",4.00984414754181e-07
"draw",1.03820824193218e-06
"drive",9.63148225594122e-07
"driven",3.7734642880437e-06
"driver",6.43633966256588e-07
"drop",1.54912457154515e-06
"due",4.88992788771856e-06
"dure",4.5193232638005e-08
"earli",4.36190136181874e-06
"earlier",3.14883574312954e-06
"earn",3.29674596997723e-06
"earnings",1.30249534593964e-06
"eas",1.16968732223023e-05
"east",2.51719705435716e-07
"ecb",7.94382756084794e-06
"econom",4.42067699437211e-05
"economi",1.06647989185864e-05
"economies",6.69514158607516e-07
"economist",1.35929027176763e-06
"economy",6.27646575800181e-06
"educ",8.89294926288257e-07
"education",1.54581691846181e-06
"effect",3.5855142849565e-06
"effici",1.9138285681811e-07
"effort",7.25780075388229e-06
"elect",1.1935808575505e-05
"election",1.50784361213667e-06
"elections",4.35502299067287e-07
"elector",1.35659638032552e-06
"electr",3.89871309172708e-06
"element",2.40806986039373e-07
"emerg",1.64819386186704e-06
"employ",2.32207089399744e-06
"employment",1.58864401177017e-07
"enabl",1.30442945601881e-06
"encourag",2.13928511914574e-06
"end",8.55203227940995e-06
"energi",4.02753198110153e-06
"enhanc",7.21986862176274e-07
"enjoy",4.7353321355797e-07
"ensur",2.57414215507972e-06
"enter",6.74800162776922e-07
"enterpris",3.27562750410601e-06
"environ",1.59664866693648e-06
"environment",1.20893867271445e-06
"envisag",8.82357081987781e-07
"equiti",6.15661944829439e-07
"equival",1.50461829808126e-06
"establish",1.77088427283322e-05
"estim",5.79870265790599e-06
"eurm",1.49884041956714e-06
"euro",3.64050808075004e-05
"european",6.96182153863112e-06
"even",5.149870815078e-07
"event",1.03178047247466e-06
"eventu",8.56210211369241e-07
"evid",5.45824722609309e-07
"exceed",1.54927808631943e-06
"except",4.41572419610087e-07
"excess",1.44974807112622e-06
"exchang",8.11399434276583e-06
"exchanger",1.22582645867953e-05
"exclud",1.60330215669442e-06
"execut",4.97408130157935e-06
"exist",5.17956342739302e-06
"expand",4.59941821504735e-06
"expans",9.39084579828999e-06
"expansion",4.52617268728349e-07
"expansionari",1.40382725852323e-06
"expect",0.000170852003973826
"expected",6.61596145533013e-07
"expenditur",4.58450001628136e-06
"expenditure",2.19981710334541e-06
"expens",1.02561939698976e-08
"experi",3.59429869106935e-07
"experienc",6.36702002623269e-07
"export",5.82514449654971e-05
"exports",6.58390237039966e-06
"express",8.00302299167815e-07
"extend",6.6460197428756e-06
"extens",7.27613679110449e-07
"extent",8.68271636521067e-07
"extern",8.12452850992888e-06
"extra",4.30852185785008e-08
"extrem",5.89877775453853e-07
"face",5.65128078496829e-06
"facil",8.93608407033837e-05
"facilit",5.9400665670009e-07
"fact",1.67046585797828e-06
"factor",2.33826911449276e-06
"fail",3.19100123064116e-06
"failur",1.93696175775849e-06
"fair",8.68429725337169e-07
"fall",3.71594693628887e-05
"fallen",7.04482358964248e-07
"faster",2.68818982937753e-06
"favour",1.46336473548836e-06
"fdi",7.10859433775362e-06
"fear",9.23532805715277e-07
"februari",3.50724385818147e-06
"february",6.74642598197269e-07
"feder",2.41507946498477e-06
"fell",3.2665072116808e-06
"figur",4.28290199028884e-06
"final",2.30016061711688e-06
"financ",0.000328943665742768
"finance",8.24746126154037e-05
"finances",1.92657714567289e-06
"financi",0.000684728317332695
"find",1.04906419248558e-06
"firm",3.39618559057623e-06
"fiscal",1.07481692249759e-05
"fix",2.86732049431628e-06
"flexibl",9.31421312973786e-07
"float",7.07807126237314e-07
"flow",7.0974037465406e-07
"fluctuat",7.51412244498852e-07
"focus",4.55301889945579e-06
"follow",2.84045198789603e-06
"food",4.00900712785153e-06
"forc",7.36442584187359e-06
"forecast",0.00085652722025184
"foreign",1.45301799936179e-05
"foreigncurr",2.14765392100407e-06
"foreignexchang",7.53678788534913e-06
"form",6.30848321967946e-06
"formal",7.34280990665852e-07
"forward",1.4849066847007e-07
"found",1.0564646677238e-06
"fourth",1.26004645135104e-06
"framework",1.01155496124476e-06
"franc",3.7865872420524e-05
"free",8.3081525589911e-07
"fuel",2.17720067568001e-06
"fuell",2.47807539026286e-07
"full",2.92755370657185e-06
"fulli",1.37006478376891e-06
"fund",0.000221896615286016
"fundament",3.14224203453803e-07
"funds",8.59316368629294e-07
"furthermore",1.26504386180242e-07
"futur",2.51526593455195e-06
"gain",1.40791852123842e-06
"gap",1.87767737544905e-07
"gas",4.73780782849667e-06
"gdp",0.000214719928590746
"general",3.98946933645009e-06
"generat",1.32428464910282e-06
"give",1.1176301008636e-06
"given",2.28481372895879e-06
"global",5.34961327685774e-05
"goal",4.98881376976111e-07
"gold",1.61076523179541e-06
"good",3.20718148174842e-06
"goods",5.31857246212596e-07
"govern",0.00975397195761309
"government",7.56503591408082e-05
"governor",3.62924459765628e-05
"governorth",5.41315695092029e-06
"gradual",7.38080394400852e-06
"grant",2.61750371231901e-05
"greater",4.04339064444981e-06
"grew",2.13386552109869e-06
"gross",5.57701821452676e-07
"ground",4.09184829748773e-07
"group",1.66825644306896e-05
"grow",7.36637530453764e-06
"growth",0.00618130085569841
"guarante",5.85281477679294e-06
"half",4.50527829736769e-06
"hand",4.06043639943175e-07
"hard",8.00735054089067e-07
"head",9.61872797154111e-06
"health",3.28086533719219e-06
"healthi",6.48037299869697e-07
"heavi",6.99676119227863e-07
"heavili",4.92095961074516e-06
"held",9.32561943205204e-06
"help",2.06718808093377e-06
"high",2.22663782971866e-05
"higher",1.70450927090074e-05
"highest",4.82931204652254e-07
"highlight",1.0969845349633e-06
"histor",1.66794090758839e-06
"hit",8.78021090254585e-07
"hold",4.62191529213466e-06
"home",4.85726793946612e-07
"hope",6.65697285070672e-06
"hous",5.15659980453764e-06
"household",7.05590155169896e-06
"however",1.59954546805486e-05
"huge",3.36960715017914e-07
"imbal",8.19210079584891e-06
"imf",0.000497829066264657
"impact",5.25041360898991e-06
"implement",2.02105912604779e-05
"impli",9.51100341676017e-08
"import",1.698954596345e-05
"imports",2.03323581701752e-06
"impos",4.99712095943237e-07
"improv",1.47045234950474e-05
"incent",5.74536514413033e-07
"includ",0.000134335282096284
"incom",1.60910861200086e-05
"income",1.03123956170688e-06
"increas",1.31397898200993e-05
"increase",1.16502617655495e-06
"increases",6.82273998210596e-07
"indebt",1.57173649126931e-05
"independ",8.24529916628552e-06
"index",2.91850475559598e-06
"indic",2.76121879508967e-06
"indirect",3.73844997247453e-06
"individu",8.45390821983245e-07
"industri",6.29691485737646e-06
"industry",2.93785820145757e-06
"inflat",0.00053733627604817
"inflation",1.25908667674747e-05
"inflationari",5.90990505486887e-05
"inflow",2.15686139011715e-05
"inflows",6.28972782803528e-06
"influenc",4.62649523993672e-06
"inform",3.78210719167156e-06
"infrastructur",3.24112604399861e-06
"infrastructure",1.5605855379489e-06
"initi",6.66423201964465e-06
"institut",2.65633388877836e-05
"institutions",4.96022084798428e-06
"instrument",9.5503252794695e-07
"insur",2.0819977045254e-06
"intellig",1.53329491082782e-06
"intend",4.12843857602572e-06
"intent",5.06407543947561e-08
"interbank",1.61855302862243e-06
"interest",0.000707339090270139
"intern",9.10527019584431e-06
"internat",1.37292423803513e-05
"interven",1.10497035335659e-06
"intervent",1.67910118762585e-06
"introduc",5.186408818457e-06
"introduct",1.14684909832029e-06
"invest",1.05193418502814e-05
"investig",7.79254964948772e-07
"investment",3.20536363754674e-06
"investor",3.69791705179073e-06
"investors",5.13997556819579e-07
"involv",8.20454900964794e-06
"issu",2.04995686165347e-05
"issues",6.29701484458059e-07
"januari",7.26105557885109e-06
"january",1.10663143998567e-07
"japan",6.16942335327782e-06
"job",1.13419257251162e-06
"join",7.0613608459923e-07
"joint",8.56141597831528e-06
"juli",3.16785019161563e-06
"july",4.19804280516897e-07
"june",5.75107859149788e-06
"keen",6.95776005464123e-07
"keep",6.58220173896652e-07
"key",3.93825277963844e-06
"labour",2.73172407137042e-06
"lack",1.00801976487055e-05
"land",1.44832852016658e-06
"larg",7.33848883151685e-06
"larger",1.16632215202204e-06
"largest",3.84547165727992e-06
"late",3.69714525868177e-06
"latest",1.63613591652631e-06
"launch",4.65663139771555e-06
"law",1.1257067560863e-05
"lead",3.96781232666608e-06
"leader",6.1512054743736e-06
"leadership",5.51495392361346e-07
"leav",1.12891882739703e-06
"led",2.56085401481506e-06
"left",7.38436148080251e-07
"legal",4.47936674671397e-06
"legisl",5.77868065441592e-06
"lend",8.63634610107081e-06
"lending",4.93200538912863e-07
"level",5.0371793271165e-06
"levels",8.76625889842282e-07
"liberalis",1.87263829896825e-06
"lift",1.08846400756587e-06
"light",7.85610892472928e-07
"limit",5.60520878003738e-06
"line",3.80036884365267e-06
"link",3.33368445741836e-06
"liquid",4.97498401358653e-06
"liquidity",8.13500830507727e-07
"list",2.39449526026505e-06
"live",1.46818943911676e-06
"loan",0.000181567617120278
"loans",1.54598682483765e-06
"local",2.15288041271481e-05
"long",5.17737326240042e-06
"longer",5.28357031292531e-07
"longterm",1.37118327476895e-06
"loosen",2.17531207625484e-06
"lose",4.93216868815665e-07
"loss",1.42681348106808e-06
"lost",8.9547831088759e-07
"low",5.90095403278349e-06
"lower",7.72918451569541e-06
"lowest",5.60961897460181e-07
"macroeconom",2.27887729735862e-06
"made",3.19719612789097e-05
"main",4.70814538909295e-06
"maintain",5.892880718663e-06
"major",5.30040929885757e-06
"make",1.37429511796519e-05
"manag",4.2981074224645e-05
"management",2.52011158769266e-06
"manufactur",2.8544128827739e-06
"march",5.30812132134933e-06
"margin",1.27854169229343e-06
"mark",1.68098909987314e-06
"market",1.80089633082249e-05
"markets",9.27779225088811e-06
"massiv",1.08564505073612e-06
"may",3.58927083882912e-06
"mean",2.20582326724639e-06
"meanwhile",9.10813696154093e-07
"measur",8.59864182146228e-06
"measures",1.15183091713651e-06
"mechan",5.87568594771711e-07
"medium",1.76624011499718e-06
"mediumterm",1.6706754332808e-06
"meet",6.94751769988733e-06
"member",7.48935076836496e-05
"merchandis",3.8347956161309e-06
"met",1.2199137322012e-06
"mid",8.58272979018734e-07
"middl",5.4782677234325e-07
"militari",6.74232628034386e-06
"mine",1.3730587167834e-06
"minimum",1.67359267273886e-06
"minist",0.000170169324103893
"minister",0.000117029336925505
"ministri",2.72413241893633e-05
"minor",3.04894383689283e-07
"moder",6.75784145035414e-06
"modest",7.29707241403367e-06
"monetari",0.000130913382132904
"money",9.19865280311191e-06
"monitor",8.89347167480476e-07
"month",9.1102839601043e-06
"months",1.32630717826696e-06
"moreover",1.52566995295816e-06
"mortgag",9.93166594375379e-07
"move",2.9040139467722e-06
"movement",1.72493026814025e-06
"multilater",3.86931298784178e-06
"narrow",7.89797426638598e-06
"nation",8.14272688569171e-05
"natur",1.07661449723266e-06
"need",1.43493494358249e-06
"negat",3.35719345103339e-06
"negoti",5.97408314171554e-06
"neighbour",3.57544386527849e-07
"net",5.80743917702617e-06
"network",1.07936620601008e-06
"nevertheless",1.17053153478266e-06
"new",1.18982780181408e-05
"nomin",4.64548557434312e-06
"nonetheless",4.05816711572783e-07
"north",1.38053095317446e-06
"notabl",1.59666794860049e-06
"note",2.65497067089244e-06
"novemb",1.03853612102519e-05
"november",6.6835364214137e-07
"number",1.47854554942958e-05
"object",1.43862642699247e-06
"oblig",5.78913839022596e-07
"obtain",7.19298943432709e-07
"occur",4.32143942020118e-07
"october",4.08944857711839e-06
"oecd",2.67738529336719e-06
"offer",3.00348101207811e-05
"offic",2.45342134596662e-06
"office",1.15590531575725e-06
"offici",1.11872018265298e-05
"offset",1.19120628380127e-05
"oil",2.45745299495535e-05
"one",1.20501601853493e-06
"ongo",9.61668110102959e-07
"open",4.61252413933346e-06
"oper",3.58091479641673e-05
"opportun",3.23587638549228e-07
"oppos",6.86327308531938e-07
"opposit",9.4510022334016e-06
"order",7.05342844014393e-06
"organis",1.06043453307038e-05
"origin",1.65877235820646e-06
"outflow",1.19841739485939e-06
"outlin",7.69508472338649e-07
"outlook",6.52381153181252e-06
"output",2.57904647949502e-06
"outstand",6.03725935752005e-07
"overall",2.77147394415393e-06
"oversea",4.21217179689275e-07
"owe",7.33927268147041e-06
"pace",6.47261422009623e-06
"packag",1.61132225086713e-06
"paid",2.38650936076164e-06
"paper",1.04276471955386e-06
"pariti",1.28523439192007e-05
"parliament",1.21726717920825e-05
"parliamentari",2.05834401329183e-06
"part",8.2508546248169e-06
"parti",1.41856787793073e-05
"partial",3.21646307056642e-07
"particip",7.55088744858358e-07
"parties",6.03764802124309e-07
"partner",1.26648369218217e-06
"partners",2.0211390449271e-07
"party",1.60255252298514e-06
"pass",2.32526997973632e-06
"past",2.97769284462188e-06
"pay",1.01627004794518e-05
"payment",4.31606096823677e-06
"payments",2.81608846460583e-06
"peak",2.09117435184197e-06
"peg",1.00535512335542e-05
"pension",9.70975332167029e-07
"peopl",5.31980326578377e-06
"percentag",3.91793661473866e-06
"perform",5.22651493596589e-06
"performance",1.4609677870973e-06
"period",1.35759073630039e-05
"persist",1.45716587733909e-06
"person",1.63565898690643e-06
"petroleum",5.39419793762865e-07
"phase",5.5144890343259e-07
"pick",1.22091499196616e-05
"place",1.28212717195643e-05
"plan",0.000263162804300836
"plant",7.70812125643868e-07
"play",6.18569465093867e-07
"pledg",1.8516773300427e-06
"point",1.40347630699681e-05
"points",2.21660489739798e-06
"polici",1.69120276553286e-05
"policies",1.42987544528727e-07
"policy",2.22056349587052e-05
"policymak",1.33745420374261e-06
"polit",0.000107776509663079
"poll",6.56862970825142e-07
"poor",9.90612499221533e-06
"popul",1.7361477063975e-06
"popular",1.02100089208344e-06
"port",1.74700162192214e-06
"portfolio",5.63659196766576e-07
"pose",6.2174211248575e-07
"posit",3.38816412820537e-06
"position",8.65429439092607e-07
"possibl",1.03248907286357e-06
"post",2.26682171484424e-06
"postpon",3.88746493601077e-07
"potenti",2.97402459312845e-06
"poverti",5.97686523718623e-05
"power",8.31831844176277e-06
"practic",5.55203212101327e-07
"prefer",1.66403262863768e-07
"preliminari",-3.02829174008146e-08
"prepar",2.50563204426352e-06
"present",4.92260294846887e-06
"presid",1.65949673624481e-05
"president",1.06571673257069e-05
"presidenti",2.82257768677199e-06
"press",2.45826857273178e-06
"pressur",1.85666358314387e-05
"pressure",5.13305634192364e-07
"pressures",5.95907619932322e-06
"prevent",1.65684333415836e-06
"previous",3.61805821832005e-06
"prgf",1.98342915274618e-05
"price",0.000237635841958785
"prices",3.70474378541773e-05
"primari",1.38241403977805e-06
