"country","iso3c","date","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C1_ma"
"Afghanistan","AFG",2003-02-01,0.300357798979003,0.146198071355973,0.372200506695895,0.684533858238162,0.705059625320446,0.396168138250482,0.515119642700251,0.445396920160398,0.505537481741812,0.636369685114714,NA
"Afghanistan","AFG",2003-05-01,0.164965952907675,0.241177593566572,0.388846516243867,0.699125058303367,0.667666716799302,0.419907723583441,0.546412804886111,0.420075560401394,0.33602202582673,0.639483782795274,0.232661875943339
"Afghanistan","AFG",2003-11-01,0.18682916172244,0.303912670972266,0.323365911063126,0.707109031446084,0.659815692176146,0.410939040964809,0.527690515539314,0.502318489159539,0.33650076960227,0.58489130881018,0.175897557315057
"Afghanistan","AFG",2004-02-01,0.165410088807569,0.236160302151623,0.466818634701504,0.674923954208862,0.563801757666249,0.420660246384381,0.401017960625256,0.426320477680691,0.320810622443992,0.595695565468731,0.176119625265004
"Afghanistan","AFG",2004-05-01,0.16423057595506,0.404857742814797,0.453467740552612,0.679318252592478,0.628818588649133,0.428005755518972,0.544646698621713,0.445134670100456,0.381509527958574,0.658344841446584,0.164820332381314
"Afghanistan","AFG",2004-08-01,0.111077727564643,0.254323547402931,0.36768219702688,0.619037296433329,0.619268527269763,0.429614281744113,0.495858184637775,0.324482421310753,0.394938856635465,0.516434135834258,0.137654151759851
"Afghanistan","AFG",2004-11-01,0.107550334106613,0.377054216736045,0.458689299267969,0.666731502731664,0.552125457258954,0.368648099279744,0.45502595462106,0.239368404081964,0.374338157444034,0.600528083606411,0.109314030835628
"Afghanistan","AFG",2005-05-01,0.184125930332697,0.24923489414422,0.482713908576609,0.72982270262048,0.555627378414367,0.364907373997128,0.534496503080248,0.34486639909821,0.402059509443394,0.727116433465184,0.145838132219655
"Afghanistan","AFG",2005-08-01,0.0936837196086191,0.332759671729796,0.353622431663912,0.433425523099105,0.572926775522165,0.430961074452135,0.352940499637771,0.470067275847931,0.352688355748861,0.617643928699293,0.138904824970658
"Afghanistan","AFG",2005-11-01,0.106590041302957,0.299632568242773,0.361040205420145,0.507539357154122,0.444032615076302,0.429511268657057,0.383323992568173,0.339695996701405,0.341226013152336,0.647730367370038,0.100136880455788
"Afghanistan","AFG",2006-02-01,0.035642430616273,0.291687396716041,0.348159321761562,0.446989972865605,0.452865430248674,0.482543249396398,0.430950393033345,0.530172420900797,0.381334265585614,0.750222838257492,0.0711162359596148
"Afghanistan","AFG",2006-04-01,0.0429255934695627,0.284954838025762,0.481905505963597,0.516012897943019,0.470548396865203,0.460105070768742,0.452792529907166,0.405761301763852,0.313878144230333,0.766400027931889,0.0392840120429178
"Afghanistan","AFG",2006-07-01,0.148137739298384,0.236837621968157,0.426834506994482,0.337131156511088,0.493866003799341,0.410171006589699,0.445305033166888,0.424312342452863,0.425656625211476,0.627650821163656,0.0955316663839731
"Afghanistan","AFG",2006-10-01,0.145291999670341,0.336019880980286,0.41491273280075,0.517713988658519,0.561535357705711,0.537608120121555,0.49773545238936,0.475383447646681,0.306072304545659,0.637758583993358,0.146714869484362
"Afghanistan","AFG",2007-01-01,0.161146891630059,0.392547110299706,0.429219617003172,0.427790129159266,0.572211805715623,0.523654149845373,0.449971913048075,0.383537029620636,0.366571775558968,0.668494721132546,0.1532194456502
"Afghanistan","AFG",2007-04-01,0.0863739285914739,0.273756459184617,0.520010452162362,0.520417879476284,0.478904644940523,0.432049677459835,0.504793757615301,0.425854021515122,0.356075591730904,0.716432691616385,0.123760410110766
"Afghanistan","AFG",2007-07-01,0.136556140451302,0.235621927855004,0.465299823044577,0.56020380804286,0.543348379603659,0.404250029218976,0.370464312690942,0.439974153978616,0.318758205420948,0.656917680503747,0.111465034521388
"Afghanistan","AFG",2007-10-01,0.172790271152913,0.167903205235589,0.523275874709955,0.552546680358882,0.467878809719329,0.422331916612022,0.426626067495309,0.498799261780799,0.360492318949665,0.643883063740632,0.154673205802107
"Albania","ALB",2003-05-01,0.219028928034759,0.583508692101536,0.197851666832287,0.313468235769479,0.447871732701089,0.489508359292101,0.300975159598629,0.476865208962685,0.333723231304414,0.706976090225861,NA
"Albania","ALB",2003-08-01,0.307827054401112,0.638659502264,0.238559386565366,0.306138420385256,0.376391040892422,0.605832138013937,0.426285502891803,0.682428241524847,0.370562669675117,0.579388112530667,0.263427991217936
"Albania","ALB",2003-11-01,0.314271517269532,0.648012664192773,0.240163714872512,0.276238206593439,0.464087778337575,0.649633717915919,0.458977046519216,0.708911026182135,0.387637563975037,0.472433220080821,0.311049285835322
"Albania","ALB",2004-02-01,0.164111146048067,0.661347051762368,0.240724691430988,0.28569125899661,0.519984306587814,0.554747364391968,0.348039220243096,0.710068425641572,0.319929354733536,0.427703291144351,0.2391913316588
"Albania","ALB",2004-05-01,0.209033282717403,0.590770165325794,0.365756335854241,0.311193874372189,0.408140117514651,0.626571011468678,0.370935820863977,0.710767981540445,0.462073312063578,0.545392402905417,0.186572214382735
"Albania","ALB",2004-08-01,0.29762871539407,0.669846305512424,0.215150294181925,0.327051536439839,0.559337640733493,0.657528610919899,0.288043288342461,0.611372039022231,0.497950755309677,0.511408807640066,0.253330999055737
"Albania","ALB",2004-11-01,0.38292854179696,0.60794327387932,0.165211833935938,0.286914192310752,0.478469284142574,0.607611488488992,0.353441077878015,0.481978969803851,0.516059174149921,0.514032733442627,0.340278628595515
"Albania","ALB",2005-02-01,0.320460401913248,0.617183730862424,0.368126626593298,0.308265604164087,0.5372351103473,0.57059648100654,0.384621193070828,0.608249719944974,0.411691499817681,0.553124887661502,0.351694471855104
