"components","eigenvalues"
1,0.0274569288459917
2,0.016815551948263
3,0.0140524176469573
4,0.0125528072006095
5,0.00952671861555092
6,0.00859649985551952
7,0.00757630745999616
8,0.0064906212924736
9,0.0064558406497172
10,0.0059416846219972
