components,eigenvalues
1,0.109419889514573
2,0.0868957894615296
3,0.0842665928606272
4,0.0773433665442799
5,0.0741843508189495
6,0.064709848401702
7,0.0634079507490544
8,0.0608259005687702
9,0.0554794425196558
10,1.52655665885959e-16
