"components","eigenvalues"
1,0.0153161869547225
2,0.0090536670264235
3,0.00844819896959671
4,0.00697605686365315
5,0.00526987428647559
6,0.00500615112867703
7,0.00449503958650359
8,0.00418143899166118
9,0.00403279182237859
10,0.00372338782140786
