"components","eigenvalues"
1,0.0218729430326692
2,0.0133904030361424
3,0.0130719229261999
4,0.0103962332234788
5,0.00799007560129413
6,0.00724078611257444
7,0.00668723272141953
8,0.00643178428603055
9,0.0057937577336612
10,0.00548242986153047
