"country","iso3c","date","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C1_ma"
"Afghanistan","AFG",2003-02-01,0.276542597779955,0.134988038679687,0.406104481708958,0.376114281726343,0.274140132642383,0.438832050017584,0.629755754579297,0.381791809204945,0.561732679310161,0.592221816335732,NA
"Afghanistan","AFG",2003-05-01,0.166518070607803,0.225061567540032,0.423852929199967,0.408161634255857,0.274657497987757,0.510379032216843,0.725761020694689,0.386031191147974,0.586951576092714,0.451864894015566,0.221530334193879
"Afghanistan","AFG",2003-11-01,0.203329742222253,0.256840233457794,0.348446190403205,0.395555908713389,0.246711670974876,0.521271878271233,0.654751103967446,0.448541122738667,0.486941367921767,0.452649908484933,0.184923906415028
"Afghanistan","AFG",2004-02-01,0.179423392246141,0.22855512471178,0.509713171526899,0.446390217519709,0.315526890559709,0.577580334847006,0.704896295471514,0.517726352366806,0.623023216564836,0.456298824298995,0.191376567234197
"Afghanistan","AFG",2004-05-01,0.200954013938407,0.361689276558852,0.471814086156745,0.430846477071808,0.259598538389539,0.564531850975035,0.691579178107458,0.386602048163305,0.597159341779723,0.504936370159304,0.190188703092274
"Afghanistan","AFG",2004-08-01,0.133500584751861,0.243649410389213,0.403017109738796,0.492329872724104,0.34065219988123,0.496322961903376,0.681781912798938,0.397826300014777,0.686843697040981,0.454173295785994,0.167227299345134
"Afghanistan","AFG",2004-11-01,0.128002841213476,0.37236762585356,0.470748706071227,0.403802318970899,0.425948841982755,0.458473615305375,0.762432862382488,0.395757240154731,0.769821194263063,0.481279246958984,0.130751712982668
"Afghanistan","AFG",2005-05-01,0.176593453709818,0.262013056009576,0.513676356594068,0.350270887492096,0.383431311817605,0.509635845059244,0.75084482552177,0.398899024670379,0.652292851774111,0.551679531695347,0.152298147461647
"Afghanistan","AFG",2005-08-01,0.139587447841129,0.308474335409461,0.378243297947116,0.657371458142043,0.444748284761148,0.481078328039543,0.59121925144047,0.508939761670457,0.568849733725039,0.466691992834469,0.158090450775473
"Afghanistan","AFG",2005-11-01,0.151537140847277,0.28894502620511,0.377322666864905,0.574887221355337,0.506888581346794,0.577738271809164,0.677359877067557,0.516177696942775,0.671042009941089,0.48596798909562,0.145562294344203
"Afghanistan","AFG",2006-02-01,0.0571238420807075,0.286450114131146,0.374322013125645,0.639718765207433,0.544672535822492,0.58000537240065,0.564995946010601,0.456511822815719,0.517677429061766,0.512627730828194,0.104330491463992
"Afghanistan","AFG",2006-04-01,0.0587930066898809,0.287514262051864,0.497015711229019,0.584338023722762,0.504637426268726,0.585417318304747,0.644740319203092,0.449235961415132,0.658914424677225,0.454333014699517,0.0579584243852942
"Afghanistan","AFG",2006-07-01,0.196735204768451,0.230103790717824,0.429664783926785,0.725255354777973,0.55766246827637,0.476221466650283,0.623556524495873,0.451345403618382,0.595879387304382,0.528297964583426,0.127764105729166
"Afghanistan","AFG",2006-10-01,0.182623969306695,0.29507471535798,0.436656526067162,0.553972680640275,0.392172187816011,0.571725513934499,0.569800072817386,0.418888708571109,0.601426788304785,0.398208772634119,0.189679587037573
"Afghanistan","AFG",2007-01-01,0.214249347114689,0.376023977060262,0.406104512115965,0.651459770952884,0.450393775582909,0.483424353712153,0.559341576863297,0.413886898968217,0.684097697625717,0.402453120299542,0.198436658210692
"Afghanistan","AFG",2007-04-01,0.112794188132293,0.267699067480285,0.552292909506614,0.603517984846751,0.438627621026385,0.608475756017073,0.692976013463286,0.410198812975843,0.62053784655027,0.460996606385691,0.163521767623491
"Afghanistan","AFG",2007-07-01,0.172491226073656,0.216410341154026,0.495545531374516,0.534644267664394,0.392780988625935,0.523447122581657,0.670372457799116,0.532140311839329,0.609080366368099,0.486976888280148,0.142642707102975
"Afghanistan","AFG",2007-10-01,0.191645308875606,0.157061584761367,0.554083170399036,0.533853297252473,0.433894229788624,0.592689877366035,0.622621631027479,0.510743650351016,0.540635731861573,0.525851487053582,0.182068267474631
"Afghanistan","AFG",2008-01-01,0.093637918041771,0.21730998059162,0.445447261643419,0.598340869050364,0.532838017684291,0.546269926578904,0.556816527311276,0.496357252269055,0.481354525405802,0.388115588211917,0.142641613458689
"Afghanistan","AFG",2008-04-01,0.164094422020537,0.369667207343557,0.354181010158602,0.707788459038982,0.427077700180783,0.484215886562381,0.528873312055168,0.534230617973433,0.559417318255882,0.44194655631796,0.128866170031154
"Afghanistan","AFG",2008-07-01,0.0872019744255062,0.268273627414575,0.456832869746451,0.598768972390738,0.581085767095363,0.591906457479402,0.673375742611504,0.472635908005305,0.534104630470408,0.528626625281379,0.125648198223021
"Afghanistan","AFG",2009-01-01,0.249597531040004,0.308658536747211,0.426186241592581,0.387964273781111,0.438501229384643,0.323683536073764,0.663564787946978,0.309992580594011,0.610455971964838,0.456984673668104,0.168399752732755
"Afghanistan","AFG",2009-04-01,0.181538071576854,0.184894665513237,0.378532780358345,0.492585801353201,0.573406241190371,0.385086812056741,0.624936557771761,0.342709145030097,0.45602406830372,0.495606170475102,0.215567801308429
"Afghanistan","AFG",2009-07-01,0.138135325582567,0.214845963584172,0.425555282321672,0.635865255070279,0.473775870759098,0.477751816148129,0.66302845689722,0.415305090772168,0.522172428961395,0.433081724249913,0.15983669857971
"Afghanistan","AFG",2009-10-01,0.190489086639268,0.133887031044551,0.401679770406359,0.612759143953931,0.467449672538063,0.468850416669648,0.705624794567495,0.404959426877741,0.481675940457547,0.555502040965298,0.164312206110917
