"country","iso3c","date","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10"
"Afghanistan","AFG","2003-02-01",-0.060593982847686,0.0177565957721263,-0.132024868560386,0.0688330356264884,-0.23918267492144,-0.0259161702867721,-0.207962041033189,-0.018630363310962,0.00975372652923538,-0.120888406607327
"Afghanistan","AFG","2003-05-01",-0.101031696347262,-0.00277509993214164,-0.0831910317658809,0.031381742744192,-0.227702913890622,-0.118491587595714,-0.196782905922953,-0.0107954228757703,-0.0654208876218599,-0.0102928334260899
"Afghanistan","AFG","2003-11-01",-0.0965560623352602,-0.0424098322812612,-0.088064794001034,0.0518380711966282,-0.202676542772612,-0.104218714463566,-0.141015529776438,-0.0479296845634295,-0.0364532750977884,0.0555093913526013
"Afghanistan","AFG","2004-02-01",-0.109023729682856,0.0289911809731821,-0.0615388630671247,0.034791333060583,-0.167975707314119,-0.0528236100289462,-0.0880837387805849,-0.105605725567149,-0.18082164032815,0.0181138181476775
"Afghanistan","AFG","2004-05-01",-0.0943919628799862,-0.017301974374474,0.00233580702341336,0.0163216250219723,-0.183427347073466,-0.136659704236519,-0.137287978037869,-0.0195804770724325,-0.0520357797593888,-0.0241045671538663
"Afghanistan","AFG","2004-08-01",-0.118630526149857,-0.0190072644621426,-0.085628484772172,0.0174150547918336,-0.166166223287884,-0.067230183723411,-0.144707024363812,0.00756436075439288,-0.151538240933773,0.0271234271610961
"Afghanistan","AFG","2004-11-01",-0.111340131554375,-0.0238102386894639,-0.00495409628845103,0.0315989060597957,-0.0957792631514352,-0.0301739956985834,-0.177991734629672,0.0160734904611752,-0.249137300391019,-0.0347850315255827
"Afghanistan","AFG","2005-05-01",-0.102740988054081,0.0394772747352439,-0.0420530343540337,0.0741988120346353,-0.133761450740484,-0.0793321914869321,-0.220422381225595,-0.0372878578002284,-0.139368187244863,-0.100006785198308
"Afghanistan","AFG","2005-08-01",-0.114143757606674,-0.0613431055229984,-0.0842720771686403,-0.0759136567128175,-0.101309947725448,0.0578760020613994,-0.0420296018380076,-0.102086161350251,-0.0706337917268258,0.00928509035275358
"Afghanistan","AFG","2005-11-01",-0.11887465327124,-0.0301956458314741,-0.0777837177305328,-0.0136744515129591,-0.0138156269840603,-0.0246267246157628,-0.0353546513866888,-0.0805418570250639,-0.17534855537215,-0.000304578283127215
"Afghanistan","AFG","2006-02-01",-0.132209644573307,-0.0477966227141564,-0.10101222103287,-0.0510460475209355,-0.0273701800368844,-0.0176978579558489,0.0492204720343876,-0.108805202826263,-0.0136815455254498,-0.0332902527327327
"Afghanistan","AFG","2006-04-01",-0.129388794398403,0.0206814158979837,-0.0502884249175972,-0.0444175339560318,-0.053176080035548,-0.0302261513177541,-0.0481965557633582,-0.0558112961203063,-0.143271276756199,0.0122641265985554
"Afghanistan","AFG","2006-07-01",-0.101785457666538,0.00829505529448449,-0.0954695477398516,-0.104884807772357,-0.00706200505134918,0.0263211088292534,-0.0482874291839443,-0.0824130500398512,-0.0334001095162277,-0.0145756349730533
"Afghanistan","AFG","2006-10-01",-0.100511517915575,-0.0274532630921976,-0.0605097031130626,-0.0449082446259077,-0.12109339649723,-0.08281129471308,0.0175832620624127,-0.0302961468326137,-0.0146549737981949,0.0479275570923922
"Afghanistan","AFG","2007-01-01",-0.087001805535868,-0.0288505709540684,-0.0362581796914899,-0.0777640335675147,-0.0717631011815119,0.00908114980102772,0.0146513260903957,0.031880469869279,-0.105449652629728,0.0293796093331418
"Afghanistan","AFG","2007-04-01",-0.116821867900166,0.0448849803430755,-0.0418698196448517,-0.0612154540338662,-0.0701889704649047,-0.117351166816343,-0.0624226480221998,-0.0591995018422648,-0.139361767244864,-0.00975993172388647
"Afghanistan","AFG","2007-07-01",-0.107927924845893,0.0201091365985954,-0.0701743874141641,-0.0173845477159149,-0.112489559107056,-0.0231694758489416,-0.0772174320624756,-0.114915890106378,-0.117495748911543,-0.0285577897709903
"Afghanistan","AFG","2007-10-01",-0.103722130992132,0.0781327234854866,-0.0715254803369582,3.48619571596356e-05,-0.0788882044654452,-0.0839497597586781,-0.0295051079262232,-0.1249305296207,-0.0641187027797916,-0.051388412762807
"Afghanistan","AFG","2008-01-01",-0.131923114076037,0.0305289692081472,-0.0999926970385691,-0.024192903882045,-0.0259048882638198,-0.00601546131480121,-0.000941737309434627,-0.084455659484982,-0.0115543162862487,0.0916388775098164
"Afghanistan","AFG","2008-04-01",-0.102645057220107,-0.0411579334466285,-0.0597349400513878,-0.0939552463490117,-0.0802450086642867,0.0531158343655011,0.0407956425761931,-0.101675955654253,-0.0275615976758371,0.0645153664225018
"Afghanistan","AFG","2008-07-01",-0.122202247965774,0.029036731148688,-0.0692771464165539,-0.0338076812708096,0.027375514301569,-0.0609346066017629,-0.0731430478175346,-0.101323541930005,-0.061703174473016,-0.0356545109129569
"Afghanistan","AFG","2009-01-01",-0.0695775301769059,0.015341014779796,-0.0564771300468098,0.0395631254701556,-0.124724564032529,0.044394447257365,-0.216824744422125,0.0920037117422162,-0.038669716977787,0.0181791961483398
"Afghanistan","AFG","2009-04-01",-0.0909236894907684,0.0346318378746836,-0.104125771110552,-0.00696628211246504,-0.0190448823695624,0.0391480923922475,-0.204802079408869,0.00434572294181314,0.0532939799289313,0.0320649841041928
"Afghanistan","AFG","2009-07-01",-0.111492160923187,0.00703408028835739,-0.09992768104482,-0.0597137984275187,-0.0739648348552465,-0.0113707715157565,-0.0930145301847252,-0.0517899649409573,-0.0399530492652449,0.0749480339314338
