"country","iso3c","date","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10"
"Afghanistan","AFG","2003-02-01",-0.0613528165151922,-0.111677010860609,-0.05811587391377,0.0696982202812498,-0.204304777374753,-0.0429025943033716,-0.159737908611413,-0.00458695071912284,0.00278151176347226,-0.115147699420472
"Afghanistan","AFG","2003-05-01",-0.0990929853855506,-0.0675433831507016,-0.0423444514158073,0.0498684252334799,-0.209409541412642,0.0346304251130904,-0.196055085853708,0.00774750110470923,-0.0590087713677702,-0.00144748804255087
"Afghanistan","AFG","2003-11-01",-0.0908387859495625,-0.0445110168722075,-0.0822745728391851,0.0577081828498539,-0.206248253595544,0.0389421042640282,-0.148262371430596,0.0442284156520141,0.0244408876089173,0.028455081162841
"Afghanistan","AFG","2004-02-01",-0.0959181551953265,-0.0735118674886192,-0.00488174753352907,0.032150281708918,-0.162681181395365,0.0467889054991285,-0.123494719856974,0.129318967476637,-0.117466857255129,0.00581180353415462
"Afghanistan","AFG","2004-05-01",-0.0895982943477817,-0.00246408109933848,-0.00618617550752658,0.0266154233321322,-0.192570989573804,0.0728558478682719,-0.166676598442315,0.0107155529971368,-0.0478178463690345,-0.0477417411516014
"Afghanistan","AFG","2004-08-01",-0.115464034736693,-0.0612092833835443,-0.0576237907172975,0.0170245316617274,-0.152952845728995,0.00123183250608286,-0.147694784861169,0.0150244618733834,-0.123172904805744,0.00568646407025911
"Afghanistan","AFG","2004-11-01",-0.112386240140244,-0.00325850616933898,-0.00610077931006294,0.047715243279771,-0.098134810518961,-0.0450431269356591,-0.203893097871699,0.0254279750042347,-0.213321361664664,-0.0334966690584786
"Afghanistan","AFG","2005-05-01",-0.0942083728444987,-0.0624481252580042,0.0150989524189614,0.0779824413373964,-0.123670869145643,0.0136352200132703,-0.223357990144293,0.0300623206171836,-0.118097503464436,-0.091883974807886
"Afghanistan","AFG","2005-08-01",-0.112468873546461,-0.0285348529494162,-0.0820269019519248,-0.076586083583141,-0.0746970844900292,-0.0402688963415561,-0.0390809326906488,0.0979113932845831,-0.0201915715063718,0.00838192100873603
"Afghanistan","AFG","2005-11-01",-0.11152900185263,-0.0412761625859293,-0.0733307007616222,-0.0267735209634469,-0.0256233759857448,0.0292560546255306,-0.0849687866577739,0.109129051402091,-0.131030538963122,-0.0131473231335013
"Afghanistan","AFG","2006-02-01",-0.134436080372833,-0.0440958952162637,-0.0848955196647629,-0.0567870782177383,-0.00499461648836667,0.0425289648624776,-0.00727882687815781,0.0683067071894321,0.0175561109652115,-0.00614614744673242
"Afghanistan","AFG","2006-04-01",-0.132018876471165,-0.0516660402004648,-0.00710396050452991,-0.0390078350961996,-0.0392424086203582,0.0341047614145362,-0.0824955973720974,0.0674215497816522,-0.110503171626639,0.0205461593816767
"Afghanistan","AFG","2006-07-01",-0.0968897714758156,-0.0781537956701235,-0.0434313565846488,-0.108663516414952,-0.00116172770830645,-0.0282440978794153,-0.0695806511638022,0.058423978815871,-0.022613048069377,-0.0316540826295838
"Afghanistan","AFG","2006-10-01",-0.097825132065696,-0.0332388416819328,-0.0455301002847344,-0.0328345151744373,-0.113565551331495,0.0637708022669355,-0.0291489909838494,0.0124475645412374,-0.038933633094749,0.0535317145114839
"Afghanistan","AFG","2007-01-01",-0.085890349981179,-0.00731424348071248,-0.0443124703014517,-0.0743227466516941,-0.0692620981519607,-0.0259959439035894,-0.0181588952294504,-0.0064385995477,-0.108642335763025,0.0508052423624976
"Afghanistan","AFG","2007-04-01",-0.115999705607047,-0.0643023654825738,0.0281527876857293,-0.0514407868756231,-0.0762539920342119,0.0825310301412531,-0.134788892343954,0.0425022586334776,-0.0958435030990318,-0.00404763430778348
"Afghanistan","AFG","2007-07-01",-0.102673412654591,-0.0741598234673758,-0.0149349710955184,-0.0153986135136591,-0.110237595320579,0.00569734981990718,-0.0999613342665809,0.122807561318345,-0.0777856034318816,-0.0175839460011874
"Afghanistan","AFG","2007-10-01",-0.0935173521446485,-0.111467229477588,0.0196896890817979,-0.00747055728522912,-0.0786749677538262,0.0720225675020128,-0.0725748622826011,0.105493613024591,-0.0177874511103442,-0.0445554273151979
"Afghanistan","AFG","2008-01-01",-0.128892165532071,-0.0860902648269268,-0.0357689450079739,-0.0317561045541233,-0.0157139464255554,0.0245684442062161,-0.0240418560045994,0.0709749457356413,0.0300444391228568,0.0915345085172728
"Afghanistan","AFG","2008-04-01",-0.102783751714313,-0.00927461943778137,-0.0724456161815417,-0.0978681060605143,-0.0739470958638001,-0.0222290406659399,0.0159358764815868,0.0961744953887904,0.00784159679445775,0.0468083098395857
"Afghanistan","AFG","2008-07-01",-0.126270562040404,-0.0665849257314288,-0.0151891050554566,-0.0380357359117769,0.0206394867043029,0.0576850739852428,-0.119421061976373,0.0809802410840882,-0.0139965705116025,-0.0351372377916426
"Afghanistan","AFG","2009-01-01",-0.0694800349676343,-0.0456139932563932,-0.0242896128006259,0.0544636664491185,-0.101568201887892,-0.12048868981644,-0.188002034610245,-0.0828444339230457,-0.0538585201578331,0.00891550755836791
"Afghanistan","AFG","2009-04-01",-0.0903399962534356,-0.0945859073352487,-0.0512335710172713,0.00299911454636911,0.00465338329843831,-0.0735021102173118,-0.179829053050896,-0.0471212863851528,0.0663393673749519,0.00374852702929235
"Afghanistan","AFG","2009-07-01",-0.111472073150057,-0.0795734698622924,-0.0458082722512467,-0.0609351297517191,-0.0597749519606546,-0.013995739524376,-0.126727019401448,0.0389286267195045,0.00760194849252974,0.0619738797751007
