"components","eigenvalues"
1,0.0226841262484356
2,0.0147666060352096
3,0.013320097688564
4,0.0110099198943016
5,0.00882865653292926
6,0.00790621686357449
7,0.00722025651729333
8,0.00685131199699577
9,0.00617764915169625
10,0.00587256776808111
