components,eigenvalues
1,0.106276934084065
2,0.0804169718065396
3,0.0778489493756513
4,0.0708400895717432
5,0.067420785861328
6,0.0570279235415408
7,0.0544635578710187
8,0.0521431597490405
9,0.046663358668821
10,1.94289029309402e-16
