"iso2c","country","date","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10"
"AF","Afghanistan",1998-02-01,-0.0773993727891036,-0.0218981234757878,0.123456995436941,0.0673309988798859,0.113744566577343,0.134759604465607,0.203871368511901,-0.0600377601379286,-0.0469667573537038,0.0448634658125161
"AF","Afghanistan",1998-08-01,-0.0774034513297387,-0.0219106991581329,0.123299327979796,0.0673002945154133,0.113924794422853,0.136166880749738,0.20447830693095,-0.0593445555863421,-0.0465660932403156,0.0441713254093815
"AF","Afghanistan",1998-11-01,-0.0758587522168427,-0.0282347075842205,0.120911157592752,0.06604192013718,0.101771407317229,0.124057664446605,0.183340173227043,-0.0662079261379678,-0.0549384961719732,0.0479707117548798
"AF","Afghanistan",1999-02-01,-0.0777729545449669,-0.0218351777847153,0.122461585292287,0.06615643399161,0.115128148996292,0.13484346538338,0.203391652509263,-0.0604401104399093,-0.0457556395627637,0.0432426629517977
"AF","Afghanistan",1999-04-01,-0.0289871118183301,-0.0687909739657479,0.0864198708613371,0.0779015798480627,0.136180298489467,0.160754510433217,0.0496829568509176,-0.00982885881434391,0.0318220896382246,0.0801534156257486
"AF","Afghanistan",1999-08-01,-0.0531673972639502,-0.0429540430999501,0.0433453962350523,0.0615976034215387,0.140421208741982,0.211622969769274,0.0869699084870474,-0.0835713358881997,-0.0366290710354808,0.0690872336757939
"AF","Afghanistan",1999-11-01,-0.0247580302610163,-0.0661325068383651,0.0565210326369683,0.0525447237282633,0.111356703182849,0.151649678957833,-0.000434099328090692,-0.060672971174553,-0.12332413419563,0.0463614996746076
"AF","Afghanistan",2000-02-01,-0.0331235867502476,-0.071779412058052,0.12465043513904,0.0547360475615384,0.200246362859069,0.161595830275933,0.155465058628325,-0.0324561457502066,0.0664064326730273,0.114866667391038
"AF","Afghanistan",2000-05-01,-0.057644855356041,-0.0200117345706776,0.0457630587753067,0.0710166907627458,0.166071299114459,0.221739691870733,0.142993986009746,-0.0750582631811935,-0.0355252634926735,0.0246720751458657
"AF","Afghanistan",2000-08-01,-0.0454008510487008,-0.0248852652375104,0.0059514438770105,0.0740602780673744,0.131177649449913,0.177292316215512,0.011624917836196,-0.0511576399470462,0.0498205089212993,0.076471213727819
"AF","Afghanistan",2000-11-01,-0.0276819116898511,-0.0716271156361255,0.0833541651578169,0.0825954146881631,0.137665767240243,0.11414051842774,0.0821705542614369,-0.0128637897417928,0.0320365073674347,0.0739244751019508
"AF","Afghanistan",2001-02-01,-0.0545823116890851,-0.0384833896947277,0.0544336332812657,0.0793262193981376,0.153843970080808,0.23241607007069,0.124060257475771,-0.0500456996379143,-0.0242739117817516,0.0601835957952057
"AF","Afghanistan",2001-05-01,-0.0333588104646146,-0.0515305456526141,0.10395633910053,0.0700727114269118,0.144110550539085,0.0943271210971851,0.0749409070063599,-0.0298532970648966,0.112530331910501,0.131579903423136
"AF","Afghanistan",2001-08-01,-0.0356594526263705,-0.0466049284314549,0.0959842782665628,-0.0583088741586107,0.146733464231492,0.0849766765737881,0.0642679972912728,-0.0265534394997819,0.0733055409480074,0.0725642164140632
"AF","Afghanistan",2002-02-01,-0.00548782885513415,-0.129925366989631,0.118570518826386,0.00667063035439235,0.130172110809594,0.0454013778297895,0.0790556526561153,-0.0584788806921851,0.00157137088120468,0.110015660643657
"AF","Afghanistan",2002-05-01,-0.00689452531423282,-0.150398241520134,0.0620569316873843,0.0260945236519979,0.10298399102229,0.0104874607139798,0.140895112834288,-0.0458151069103812,0.122191114149939,0.133837462854803
"AF","Afghanistan",2002-08-01,-0.00197731597391894,-0.14209094311019,0.078684419961581,0.0238321648466057,0.130588935002797,0.0424882377024676,0.0593655570065571,-0.0134390686729921,0.131239587715573,0.0213325476915544
"AF","Afghanistan",2002-11-01,0.00803844301120368,-0.152505592830706,0.0605397824680181,-0.0606101471799827,0.190106464495958,0.060634616256329,0.0824697670619291,-0.0474507930049781,0.091486220731387,0.0595349752896411
"AF","Afghanistan",2003-02-01,0.00682344113717142,-0.129541423337455,0.130282665112824,-0.0653223270019309,0.20999312303765,0.092778426107054,0.0549681074676939,-0.0644036685370543,0.0898208231262884,0.102712575237298
"AF","Afghanistan",2003-05-01,0.006583848103216,-0.140362324305973,0.103077138414145,-0.0061625515312645,0.162617687852115,0.0891575056075032,0.0811643987615651,-0.156477934006086,0.119510247609159,0.036588554589795
"AF","Afghanistan",2003-11-01,0.00899341736060948,-0.141354410530856,0.146353432671478,-0.0430015467406625,0.115237776354805,0.0636581783066157,0.0864827265803176,-0.0656184207356784,0.0704861829006216,-0.00483627414686483
"AF","Afghanistan",2004-02-01,0.00951116287358865,-0.132091011937389,0.052060159776113,-0.0119754562477619,0.155951079656561,0.0838486854158544,0.0435325263070551,-0.155063739851166,0.144687808795022,0.0306311202885937
"AF","Afghanistan",2004-05-01,0.0107372765490821,-0.128615457004914,0.0556336513144508,0.0387093547481098,0.0578089100326841,0.0726396089540987,0.0189890922059889,-0.0976298891408033,0.0252957792271677,0.0228322212289491
"AF","Afghanistan",2004-08-01,0.00923967789467501,-0.155448942462999,0.11122684916061,0.0124823228238084,0.148134319966886,0.0744655271325827,0.0669490777463471,-0.0858596253917262,0.0927953635812615,0.0994085130004766
"AF","Afghanistan",2004-11-01,0.0118631531485614,-0.153762954079899,0.0482026515863727,0.0286131673111689,0.0567339822763602,0.0517753644385215,-0.0588049038918318,-0.143147855813109,0.19732330149237,0.0849973634422685
