"word_stem","variable_importance"
"bank",0.0020528982120093
"'",5.68706921668734e-05
"rate",3.78464809171221e-05
"year",0.00786698366179908
"govern",0.000701861119393954
"growth",0.00796898423968731
"central",2.24876366206391e-05
"sector",0.000518444231990863
"financi",0.00011034611312409
"expect",1.79396626776018e-05
"increas",0.000122902403191684
"polici",0.000413898078270449
"price",2.23656499307488e-05
"remain",1.04676957451324e-05
"econom",2.34565476161052e-05
"continu",7.8995488586867e-06
"credit",0.000783517098350426
"gdp",2.82211412157641e-05
"market",0.000116682653902827
"forecast",1.42819949167352e-05
"interest",1.53241869646829e-05
"rise",4.34900266441373e-05
"inflat",3.70266002171344e-05
"invest",0.000579653746324029
"foreign",2.28127682649064e-05
"loan",4.09256202565452e-05
"economi",2.65636107366151e-05
"debt",1.19028273528642e-05
"lend",0.000158912604413033
"end",2.12692509028908e-05
"deficit",8.4415658471147e-06
"oil",1.32465561801966e-05
"domest",1.45920710933575e-05
"financ",9.75485046931016e-06
"monetari",6.31928057018648e-05
"fiscal",0.0001033694073642
"term",7.35908694521079e-06
"quarter",0.00317760451017907
"export",8.82932592088189e-05
"public",9.4562884796115e-06
"period",1.16392985979866e-05
"month",3.89713816841198e-05
"demand",0.000236508351963484
"fund",1.26511375072958e-05
"account",3.04956682635446e-05
"privat",0.000157318209247586
"support",4.08901019838543e-05
"global",5.67264404130983e-05
"high",9.88142275525306e-06
"state",9.17879882201858e-06
"import",1.72295604936857e-05
"recent",8.75677958277544e-06
"fall",1.23314930463451e-05
"servic",1.69935231351233e-05
"result",9.30621428675647e-06
"exchang",1.20551462715146e-05
"averag",1.27686535166481e-05
"currenc",1.6336588607414e-05
"current",1.15672950839103e-05
"imf",0.000247883789918174
"intern",8.68666718977743e-06
"develop",1.65922270205792e-05
"trade",1.69705330946951e-05
"mr",2.46619509230926e-05
"risk",1.7487082116906e-05
"level",7.40448994337628e-06
"real",2.18758343936891e-05
"larg",8.74692120970909e-06
"pressur",1.59430503680664e-05
"tax",7.37928844798493e-06
"countri",2.50730100068548e-05
"capit",3.15960315968273e-05
"budget",1.61308060511016e-05
"improv",1.39134226239166e-05
"reduc",6.72064787070856e-06
"compani",2.62155468688418e-05
"reserv",1.00203378333364e-05
"includ",8.11676383690045e-06
"rais",7.00391697076573e-06
"spend",6.81657585279802e-06
"strong",3.56008585095817e-05
"reform",6.66086132117202e-05
"cut",6.97406106030193e-06
"euro",7.48281494210408e-05
"project",8.33438017763877e-06
"total",4.08917195039696e-05
"point",7.61061381780542e-06
"target",2.6896333092337e-05
"revenu",1.4144660500258e-05
"world",2.5718872275234e-05
"higher",8.62469348446743e-06
"consum",0.000150826967920386
"government",7.57380333426544e-05
"commerci",2.68201545999863e-05
"system",1.14637244018479e-05
"dollar",1.89148472873496e-05
"polit",0.000116686732201911
"estim",4.76746323835194e-06
"ow",6.87614882060611e-06
"deposit",5.88837333463511e-05
"januari",6.38411468080217e-06
"slow",3.4360516993385e-05
"measur",6.41582092856532e-06
"plan",6.22784501583488e-06
"june",3.70412283968669e-06
"extern",6.19250564477959e-06
"declin",1.42768661465017e-05
"crisi",1.24917518131591e-05
"main",4.83343375967089e-06
"low",7.52536377853805e-06
"march",2.99541506207736e-06
"effect",6.08878467138122e-06
"lower",7.64302683123539e-06
"concern",4.54724847380603e-06
"septemb",6.68739750630967e-06
"liquid",1.08447022783732e-05
"busi",1.05609098736926e-05
"nation",6.42655430795694e-06
"octob",3.93560885587302e-06
"decemb",5.45989787761402e-06
"requir",6.47704750819154e-06
"time",2.7436927768089e-06
"cost",6.33036074181024e-06
"de",0.000115462310688134
"local",5.98037835646054e-06
"elect",7.38860688537075e-05
"half",4.99397392163798e-06
"programm",5.14930486961365e-05
"product",6.51795187831571e-06
"juli",3.67103443961092e-06
"borrow",3.65549160590867e-06
"perform",2.6289748065127e-05
"reflect",7.52558011671629e-06
"compar",4.3345652539972e-05
"provid",6.50421892205888e-06
"oper",7.74708583787802e-06
"major",6.32695298449526e-06
"gener",5.8268714503545e-06
"basi",6.61320159932791e-06
"balanc",1.66644094153624e-05
"make",7.75067512130122e-06
"contract",1.96195461189191e-05
"base",6.38013134504491e-06
"april",2.69533685822901e-06
"manag",1.51393539953634e-05
"earli",3.95502319924831e-06
"asset",4.87296700019936e-05
"posit",4.91665193652217e-06
"set",4.06394117951542e-06
"region",2.91052830283283e-05
"author",4.75329880442624e-06
"impact",5.89671823434399e-06
"surplu",9.91169812323338e-06
"weak",7.52310502232033e-06
"area",6.06013979911045e-06
"incom",1.27588321495443e-05
"monei",6.7918699136045e-06
"issu",5.16857347889177e-06
"industri",1.53435012212843e-05
"grow",1.61745412688988e-05
"part",3.59585468379161e-06
"report",2.79072419684201e-06
"limit",6.11969814127001e-06
"eu",6.08464937315484e-06
"offici",6.18987973483615e-06
"boost",5.16082412004564e-06
"secur",5.28340219229296e-06
"back",4.54328480797953e-06
"recoveri",2.62844256172037e-05
"maintain",1.96840492591761e-05
"reach",5.14396186766951e-06
"novemb",2.94499636817253e-06
"rose",0.000205729515266768
"tighten",5.87026172712935e-06
"activ",7.44370900635676e-06
"announc",3.8771037893023e-06
"institut",4.917295837884e-06
"condit",7.51210538381172e-06
"august",3.25977728174853e-06
"data",1.08153447068082e-05
"inflow",7.92511952022879e-06
"control",9.16815556658673e-06
"addit",3.7799579672189e-06
"eas",5.10432085008171e-06
"suppli",6.30247247597753e-06
"late",3.42678379986454e-06
"relat",7.78653765883302e-06
"ecb",3.71045806248175e-05
"mid",3.09708288244925e-06
"lead",5.6078171373702e-06
"outlook",7.26787165895556e-06
"order",4.75111069175022e-06
"parti",1.53652748064734e-05
"minist",6.48043227154759e-06
"consumpt",0.00103808576871313
"februari",1.3766760246665e-06
"move",5.14937389697376e-06
"reduct",2.02633438984188e-05
"long",3.36004309071602e-06
"country",6.3436478873832e-06
"net",2.0196314825226e-05
"payment",3.47384258088291e-06
"power",9.42436812113565e-06
"confid",7.93631794461488e-06
"wage",1.03515863635955e-05
"start",2.50575695236843e-06
"construct",2.43291588850615e-05
"made",4.77677220608335e-06
"meet",9.18003898287977e-06
"record",9.14964751985913e-06
"investor",1.06111076194596e-05
