"iso3c","country","date","c2_finstress_clean"
"DZA","Algeria","2008-02-01",0.496820527802327
"DZA","Algeria","2008-03-01",0.529047017123933
"DZA","Algeria","2008-04-01",0.53986214842146
"DZA","Algeria","2008-06-01",0.555191605018717
"DZA","Algeria","2008-07-01",0.551273729756014
"DZA","Algeria","2008-08-01",0.546753187747785
"DZA","Algeria","2008-09-01",0.586461972448342
"DZA","Algeria","2008-10-01",0.587658586334402
"DZA","Algeria","2008-12-01",0.582506453745501
"DZA","Algeria","2009-01-01",0.588953388854307
"DZA","Algeria","2009-04-01",0.593057992017519
"DZA","Algeria","2009-05-01",0.595449658271009
"DZA","Algeria","2009-06-01",0.549346903640527
"DZA","Algeria","2009-07-01",0.539482570681255
"DZA","Algeria","2009-08-01",0.586340185133705
"DZA","Algeria","2009-09-01",0.573199658237626
"DZA","Algeria","2009-10-01",0.555401866480693
"DZA","Algeria","2009-11-01",0.576948027704077
"DZA","Algeria","2009-12-01",0.602403085727139
"DZA","Algeria","2010-01-01",0.605525960054221
"DZA","Algeria","2010-02-01",0.59449082618846
"DZA","Algeria","2010-04-01",0.621951979089658
"DZA","Algeria","2010-05-01",0.619258659120811
"DZA","Algeria","2010-06-01",0.580993914961017
"DZA","Algeria","2010-08-01",0.561166151000489
"DZA","Algeria","2010-09-01",0.563729566201423
"DZA","Algeria","2010-10-01",0.575018053510715
"DZA","Algeria","2010-11-01",0.572948883552183
"DZA","Algeria","2010-12-01",0.553446890035633
"DZA","Algeria","2011-02-01",0.491583936834963
"DZA","Algeria","2011-03-01",0.502555792418397
"DZA","Algeria","2011-04-01",0.565520663893046
"DZA","Algeria","2011-05-01",0.514497446624162
"DZA","Algeria","2011-06-01",0.506052570874414
"AGO","Angola","2003-03-01",0.925896409628615
"AGO","Angola","2003-04-01",0.902050465516847
"AGO","Angola","2003-05-01",0.744529793928687
"AGO","Angola","2003-06-01",0.728362971632394
"AGO","Angola","2003-07-01",0.860200419052433
"AGO","Angola","2003-08-01",0.870897676860667
"AGO","Angola","2003-09-01",0.883012445560208
"AGO","Angola","2003-10-01",0.880029581843984
"AGO","Angola","2003-11-01",0.740733671193986
"AGO","Angola","2003-12-01",0.736891199876768
"AGO","Angola","2004-01-01",0.851943538295
"AGO","Angola","2004-02-01",0.832667816609032
"AGO","Angola","2004-04-01",0.842407103559075
"AGO","Angola","2004-05-01",0.833008627740788
"AGO","Angola","2004-07-01",0.830579921380332
"AGO","Angola","2004-08-01",0.850523942637766
"AGO","Angola","2004-09-01",0.725344371292784
"AGO","Angola","2004-11-01",0.681500789310544
"AGO","Angola","2005-01-01",0.761111456213314
"AGO","Angola","2005-02-01",0.75584174790226
"AGO","Angola","2005-03-01",0.671828343136232
"AGO","Angola","2005-04-01",0.709897747610577
"AGO","Angola","2005-05-01",0.834524532376319
"AGO","Angola","2005-06-01",0.821091643883524
"AGO","Angola","2005-07-01",0.806934999002229
"AGO","Angola","2005-08-01",0.82633677644764
"AGO","Angola","2005-09-01",0.744572409382279
"AGO","Angola","2005-10-01",0.74814528214536
"AGO","Angola","2005-11-01",0.840115388796963
"AGO","Angola","2005-12-01",0.73594321101093
"AGO","Angola","2006-01-01",0.741429761750668
"AGO","Angola","2006-02-01",0.847492297352807
"AGO","Angola","2006-04-01",0.8575466222901
"AGO","Angola","2006-06-01",0.739032399896393
"AGO","Angola","2006-07-01",0.715751570339691
"AGO","Angola","2006-08-01",0.816067845613189
"AGO","Angola","2006-09-01",0.684259956513777
"AGO","Angola","2006-10-01",0.694502976846329
"AGO","Angola","2006-11-01",0.836945201018143
"AGO","Angola","2006-12-01",0.703414553170376
"AGO","Angola","2007-01-01",0.688192247709041
"AGO","Angola","2007-02-01",0.822065492567019
"AGO","Angola","2007-03-01",0.818544416475343
"AGO","Angola","2007-04-01",0.814378886526204
"AGO","Angola","2007-05-01",0.828233310362437
"AGO","Angola","2007-06-01",0.727162907537168
"AGO","Angola","2007-08-01",0.71816664943032
"AGO","Angola","2007-09-01",0.75840330246114
"AGO","Angola","2007-10-01",0.639037300917504
"AGO","Angola","2007-11-01",0.607465087490676
"AGO","Angola","2007-12-01",0.686797187743455
"AGO","Angola","2008-01-01",0.689596165518069
"AGO","Angola","2008-02-01",0.597855338366965
"AGO","Angola","2008-03-01",0.608809562084276
"AGO","Angola","2008-05-01",0.669358065070141
"AGO","Angola","2008-06-01",0.662749159983409
"AGO","Angola","2008-07-01",0.643255518955154
"AGO","Angola","2008-08-01",0.580984927943653
"AGO","Angola","2008-09-01",0.610375996381979
"AGO","Angola","2008-10-01",0.710373419279607
"AGO","Angola","2008-11-01",0.647917190417556
"AGO","Angola","2008-12-01",0.601136432356286
"AGO","Angola","2009-01-01",0.692410203476682
"AGO","Angola","2009-02-01",0.704667904385897
"AGO","Angola","2009-03-01",0.656397590489852
"AGO","Angola","2009-04-01",0.658931933646893
"AGO","Angola","2009-05-01",0.643289425450031
"AGO","Angola","2009-06-01",0.656622896340229
"AGO","Angola","2009-07-01",0.706811273591679
"AGO","Angola","2009-08-01",0.68922400562516
"AGO","Angola","2009-09-01",0.702386433287899
"AGO","Angola","2009-10-01",0.740713153918401
"AGO","Angola","2009-11-01",0.615916267487406
"AGO","Angola","2009-12-01",0.6068964299974
"AGO","Angola","2010-01-01",0.754571936750232
"AGO","Angola","2010-02-01",0.780389640093813
"AGO","Angola","2010-03-01",0.723609210976303
"AGO","Angola","2010-04-01",0.729272656788582
"AGO","Angola","2010-05-01",0.793300015171085
"AGO","Angola","2010-07-01",0.76696380746815
"AGO","Angola","2010-08-01",0.716231465181375
"AGO","Angola","2010-09-01",0.74181059594489
"AGO","Angola","2010-10-01",0.809540110631367
"AGO","Angola","2010-11-01",0.818203342103758
"AGO","Angola","2010-12-01",0.749749349575186
"AGO","Angola","2011-01-01",0.758956449607511
"AGO","Angola","2011-03-01",0.820469523958666
"AGO","Angola","2011-04-01",0.799019859207154
"AGO","Angola","2011-05-01",0.762630378737304
"ARG","Argentina","2003-03-01",0.663779844946856
"ARG","Argentina","2003-04-01",0.665506131295998
"ARG","Argentina","2003-05-01",0.735087813950816
"ARG","Argentina","2003-06-01",0.689754464206315
"ARG","Argentina","2003-07-01",0.651253617024018
"ARG","Argentina","2003-08-01",0.651893065911512
"ARG","Argentina","2003-10-01",0.570167470029758
"ARG","Argentina","2003-11-01",0.563180050754892
"ARG","Argentina","2003-12-01",0.476878403222923
"ARG","Argentina","2004-01-01",0.50222646606483
"ARG","Argentina","2004-05-01",0.656042574134437
"ARG","Argentina","2004-06-01",0.53671234101677
"ARG","Argentina","2004-07-01",0.575716472196658
"ARG","Argentina","2004-08-01",0.78510363069271
"ARG","Argentina","2004-09-01",0.587487233591359
"ARG","Argentina","2004-10-01",0.524989739833785
"ARG","Argentina","2004-11-01",0.736912905911214
"ARG","Argentina","2004-12-01",0.572502212365407
"ARG","Argentina","2005-01-01",0.522612193207226
"ARG","Argentina","2005-02-01",0.690368305774352
"ARG","Argentina","2005-03-01",0.482864404738444
"ARG","Argentina","2005-04-01",0.520817371043745
"ARG","Argentina","2005-05-01",0.760909414861547
"ARG","Argentina","2005-06-01",0.59823692938232
"ARG","Argentina","2005-07-01",0.642664278893674
"ARG","Argentina","2005-08-01",0.849968196011589
"ARG","Argentina","2005-09-01",0.544277193136422
"ARG","Argentina","2005-10-01",0.553630133760122
"ARG","Argentina","2005-11-01",0.846780464381308
"ARG","Argentina","2005-12-01",0.580434932635624
"ARG","Argentina","2006-01-01",0.520564238891783
"ARG","Argentina","2006-02-01",0.694077950639563
"ARG","Argentina","2006-03-01",0.498344508927753
"ARG","Argentina","2006-04-01",0.511439261604716
"ARG","Argentina","2006-05-01",0.710568021822974
"ARG","Argentina","2006-06-01",0.512619857176693
"ARG","Argentina","2006-07-01",0.483038243959409
"ARG","Argentina","2006-08-01",0.651760645799149
"ARG","Argentina","2006-09-01",0.446114313155969
"ARG","Argentina","2006-10-01",0.410710651067811
"ARG","Argentina","2007-01-01",0.620094959668158
"ARG","Argentina","2007-02-01",0.677804953932964
"ARG","Argentina","2007-03-01",0.513700005944305
"ARG","Argentina","2007-04-01",0.506568772110099
"ARG","Argentina","2007-05-01",0.664517575313245
"ARG","Argentina","2007-06-01",0.429333947294454
"ARG","Argentina","2007-07-01",0.403016173637561
"ARG","Argentina","2007-08-01",0.583340376906134
"ARG","Argentina","2007-09-01",0.408734175866518
"ARG","Argentina","2007-10-01",0.266203660053503
"ARG","Argentina","2007-11-01",0.408503916702422
"ARG","Argentina","2007-12-01",0.531197116747254
"ARG","Argentina","2008-01-01",0.52513733406556
"ARG","Argentina","2008-02-01",0.423898341536439
"ARG","Argentina","2008-04-01",0.432446466993356
"ARG","Argentina","2008-05-01",0.509192536972582
"ARG","Argentina","2008-07-01",0.50554598245812
"ARG","Argentina","2008-08-01",0.509958491161674
"ARG","Argentina","2008-09-01",0.485916914394452
"ARG","Argentina","2008-10-01",0.454079000474301
"ARG","Argentina","2008-11-01",0.490363322453935
"ARG","Argentina","2008-12-01",0.515409401623002
"ARG","Argentina","2009-01-01",0.483678362232074
"ARG","Argentina","2009-02-01",0.485189433302193
"ARG","Argentina","2009-03-01",0.48112568287865
"ARG","Argentina","2009-04-01",0.467608297959663
"ARG","Argentina","2009-05-01",0.504943005330627
"ARG","Argentina","2009-06-01",0.476472795506816
"ARG","Argentina","2009-08-01",0.404378556847472
"ARG","Argentina","2009-09-01",0.45875871044488
"ARG","Argentina","2009-10-01",0.566792185549602
"ARG","Argentina","2009-11-01",0.667819653094005
"ARG","Argentina","2009-12-01",0.709129420114722
"ARG","Argentina","2010-01-01",0.667936059836661
"ARG","Argentina","2010-02-01",0.593289359051182
"ARG","Argentina","2010-03-01",0.655700040525552
"ARG","Argentina","2010-04-01",0.761472554911721
"ARG","Argentina","2010-05-01",0.689906894001297
"ARG","Argentina","2010-06-01",0.584490758955926
"ARG","Argentina","2010-08-01",0.609385002870108
"ARG","Argentina","2010-09-01",0.583123295535605
"ARG","Argentina","2010-10-01",0.582814417494516
"ARG","Argentina","2010-11-01",0.652396844044979
"ARG","Argentina","2010-12-01",0.65905825067703
"ARG","Argentina","2011-01-01",0.573907712448387
"ARG","Argentina","2011-02-01",0.504469583121624
"ARG","Argentina","2011-03-01",0.577190129110324
"ARG","Argentina","2011-04-01",0.489513694083174
"ARG","Argentina","2011-05-01",0.383820454394157
"ARM","Armenia","2003-05-01",0.517662430277065
"ARM","Armenia","2004-02-01",0.547351025986178
"ARM","Armenia","2004-05-01",0.506883962686229
"ARM","Armenia","2004-08-01",0.52829830597202
"ARM","Armenia","2004-11-01",0.517748153381238
"ARM","Armenia","2005-02-01",0.463358974643596
"ARM","Armenia","2005-05-01",0.507932252512491
"ARM","Armenia","2005-08-01",0.470849622394841
"ARM","Armenia","2006-02-01",0.383995676579461
"ARM","Armenia","2006-08-01",0.411101505850592
"ARM","Armenia","2006-11-01",0.469881220422547
"ARM","Armenia","2007-02-01",0.49527127164036
"ARM","Armenia","2007-05-01",0.438130398381596
"ARM","Armenia","2007-08-01",0.451135668942533
"ARM","Armenia","2007-11-01",0.519855663250651
"ARM","Armenia","2008-02-01",0.536784514640967
"ARM","Armenia","2008-05-01",0.570640146065148
"ARM","Armenia","2008-08-01",0.424225237884962
