"country","iso3c","date","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C1_ma"
"Algeria","DZA",2003-01-01,0.363033618086899,0.166223583373609,0.651485380210234,0.701115788188821,0.633303478145419,0.401222963489755,1,1,0.312482336085593,0,NA
"Angola","AGO",2003-01-01,0,0.156500928461117,0.389158835130237,0.289426345649375,0.985979803021851,1,0.398549287019603,0.508997616615782,0.74732029711386,1,NA
"Argentina","ARG",2003-01-01,0.120143795812585,0.148375664194962,0,0.408906821980719,0.515873824484666,0.198414238657448,0.300641157212738,0.304276438229562,0,0.735294117647059,NA
"Australia","AUS",2003-01-01,0.64726566305137,0.381110932158249,0.244032228101618,0.874718317828694,0.841291462019934,0.224193357033864,0,0.950748698554223,0.64180900234267,0.735294117647059,NA
"Austria","AUT",2003-01-01,1,0.716606349412227,0.0683242812902063,0.692311509208098,0.698004662531914,0.850445569215212,0.645406548629562,0.27093633870118,0.367224342157056,0.588235294117647,NA
"Azerbaijan","AZE",2003-01-01,0.835769939099933,0,0.709762127838763,0.367819340858425,0,0.663167467396956,0.277817958393173,0.544229440838068,0.579912575781406,0.823529411764706,NA
"Bahrain","BHR",2003-01-01,0.500543765323689,0.0128543645070756,0.957171295843068,1,0.876047186654707,0.361868845858604,0.425122574632355,0,0.478041513749746,0.970588235294118,NA
"Bangladesh","BGD",2003-01-01,0.232824530786218,0.384355976389104,0.0909806268253806,0.673847686030869,0.330415868322921,0.0995970836504052,0.710217160053643,0.272356047245691,1,0.941176470588235,NA
"Belarus","BLR",2003-01-01,0.141169138576726,1,1,0.462564974919106,0.483747056993642,0.371295397431401,0.338833241903919,0.470475109243008,0.440065805758339,0.735294117647059,NA
"Belgium","BEL",2003-01-01,0.897732803133972,0.299371568405308,0.590975612726006,0,1,0,0.562483127082517,0.418485672851563,0.587442374478883,0.676470588235294,NA
