"components","eigenvalues"
1,0.0170827745847655
2,0.0114461207637956
3,0.0109193053995208
4,0.0101581899635069
5,0.00768055514003823
6,0.00696607619743448
7,0.00628473088198746
8,0.00596992110233007
9,0.00550793496379638
10,0.00490541832096149
