"iso2c","country","date","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C1_ma"
"AF","Afghanistan",2003-02-01,0.850924911260596,0.271320941809886,0.216966653501611,0.411931872508235,0.33321388324041,0.380341857247676,0.605088678892096,0.565654874888297,0.677311827981197,0.526358754894952,NA
"AF","Afghanistan",2003-05-01,0.868283084249196,0.290652109825481,0.263783265802481,0.521213458571117,0.34077695325958,0.367577126796387,0.631192781922854,0.662972282213392,0.636389091899924,0.586943196240278,0.859603997754896
"AF","Afghanistan",2003-11-01,0.856810955999818,0.350878519675798,0.163782533138862,0.50329056317323,0.400506527045135,0.313074523935781,0.609160356192809,0.584386677957132,0.600057717382061,0.564717737929641,0.862547020124507
"AF","Afghanistan",2004-02-01,0.845066303720748,0.295140630629658,0.32722130805044,0.525269016444857,0.34723617264975,0.384381504290612,0.656006954749156,0.679051752701637,0.600051859980164,0.511245341994877,0.850938629860283
"AF","Afghanistan",2004-05-01,0.846392766005602,0.392489955461395,0.307833365009995,0.644957676443246,0.394753648873212,0.37227838505185,0.626811694057641,0.591915560209556,0.595047271671004,0.54575815752967,0.845729534863175
"AF","Afghanistan",2004-08-01,0.888518537680799,0.276457708797225,0.24386481602468,0.560588295021832,0.369324640163192,0.364088001468941,0.602601094540207,0.598858374521775,0.674546483675887,0.501010708558166,0.8674556518432
"AF","Afghanistan",2004-11-01,0.918020459798138,0.411141967719421,0.302130149286446,0.657490220325291,0.367828070166583,0.515523254123013,0.530261801571083,0.696871169501752,0.674449567797888,0.441490932872632,0.903269498739469
"AF","Afghanistan",2005-05-01,0.833641513230147,0.416829937212685,0.344690036315105,0.496082964769927,0.38051047479367,0.470732927848019,0.499531965361977,0.706238068026912,0.567294850503299,0.49721423701338,0.875830986514143
"AF","Afghanistan",2005-08-01,0.883346848374987,0.397309959118313,0.400576749132315,0.57821723058217,0.577574585354112,0.42996459089303,0.492195305947711,0.635289765675725,0.632379217243065,0.445035229990652,0.858494180802567
"AF","Afghanistan",2005-11-01,0.888357218994305,0.453817831456137,0.413089823052152,0.569304338040916,0.578896684385833,0.582616192093596,0.516556023812566,0.652807971150394,0.615274057174185,0.386207694032555,0.885852033684646
"AF","Afghanistan",2006-02-01,0.925727922985102,0.4234864928464,0.375025998863664,0.535405410997936,0.592035896976019,0.432893438836566,0.503514819607484,0.549211197385198,0.581117394521823,0.444712772824304,0.907042570989704
"AF","Afghanistan",2006-04-01,0.913734739965187,0.415335252762805,0.44627568363804,0.566331929199199,0.546581536955167,0.486877619719602,0.407343819514145,0.642330968899503,0.484461462580072,0.435821032133484,0.919731331475144
"AF","Afghanistan",2006-07-01,0.862900351851774,0.377608444230082,0.474002712477769,0.57161232301437,0.623544886858748,0.492344057086524,0.456456844443316,0.607179644271833,0.643343692987981,0.524592861848394,0.88831754590848
"AF","Afghanistan",2006-10-01,0.799675532121999,0.350049984706781,0.413341610384335,0.592719923561234,0.486424757587855,0.350731491301929,0.51126645725942,0.504181409431154,0.637295400035978,0.447942883097469,0.831287941986887
"AF","Afghanistan",2007-01-01,0.841145944691862,0.422477587315871,0.407124719866953,0.67880084542207,0.54131530030822,0.558300045938732,0.4119919330029,0.581376888159833,0.587761452558815,0.429747703051374,0.820410738406931
"AF","Afghanistan",2007-04-01,0.881895531499922,0.368774696751886,0.517487005388005,0.614129453899314,0.492882348789349,0.522845194878316,0.542150580610289,0.707232156243251,0.636999665794945,0.427746354324784,0.861520738095892
"AF","Afghanistan",2007-07-01,0.856760235139283,0.358301228005425,0.471479572257399,0.538427859809808,0.441581266243362,0.44523542833541,0.50841251390982,0.692211318781912,0.669889079760872,0.481658836274264,0.869327883319603
"AF","Afghanistan",2007-10-01,0.770222537616594,0.39657869956591,0.532611786629453,0.511871717672898,0.44947696158326,0.516654424765378,0.559729863156344,0.627317086332549,0.7109890690108,0.447420096508767,0.813491386377938
"AF","Afghanistan",2008-01-01,0.906968976962532,0.39461361510322,0.503335048358722,0.52504231435499,0.562016783338727,0.565707955400685,0.468257337333008,0.650170907724456,0.639257790989908,0.466709886316013,0.838595757289563
"AF","Afghanistan",2008-04-01,0.814842247123857,0.431942558999781,0.465320915669616,0.610443484953024,0.641595485091999,0.563717473191286,0.392570469493495,0.567383628822259,0.576314566179943,0.500239498442397,0.860905612043195
"AF","Afghanistan",2008-07-01,0.885151317459263,0.428267422475469,0.451408060954509,0.546000532159271,0.577853628481787,0.571762585396298,0.552038226634107,0.638459288874372,0.622309198544854,0.466207135882714,0.84999678229156
"AF","Afghanistan",2009-01-01,0.788930404095559,0.349522614324832,0.258715251687611,0.543927595858898,0.327541921728706,0.574144855053577,0.527283902300615,0.661611062443486,0.693513780045786,0.59634398855115,0.837040860777411
"AF","Afghanistan",2009-04-01,0.854662587772253,0.353046197819559,0.325130628013892,0.433698700886179,0.491325631366154,0.620996337850952,0.546935572077703,0.614672803549244,0.660293712726771,0.611307335794852,0.821796495933906
"AF","Afghanistan",2009-07-01,0.887434015847642,0.333999621850212,0.392857375308819,0.53719980575477,0.499203225858964,0.512726121464842,0.551531593938806,0.597235057215853,0.638621545410528,0.550228952742859,0.871048301809948
"AF","Afghanistan",2009-10-01,0.910239557127163,0.311925065149994,0.369383106225551,0.425709453195242,0.50661025473371,0.607445456934174,0.608518420053617,0.644654377227705,0.747636469821824,0.533438291348923,0.898836786487403
"AF","Afghanistan",2010-01-01,0.785715912807296,0.349477785194867,0.411375221269955,0.489909906926551,0.523156197462655,0.603990048344893,0.578820904518112,0.658518391925931,0.598208442666407,0.690237197315876,0.84797773496723
